Temperature - (Celsius), Year, Statistics, Country, ISO3
1.48487, 1991, Jan Average, Germany, DEU
-2.0819, 1991, Feb Average, Germany, DEU
6.90307, 1991, Mar Average, Germany, DEU
7.52542, 1991, Apr Average, Germany, DEU
9.68688, 1991, May Average, Germany, DEU
13.6634, 1991, Jun Average, Germany, DEU
19.3736, 1991, Jul Average, Germany, DEU
18.4503, 1991, Aug Average, Germany, DEU
15.5177, 1991, Sep Average, Germany, DEU
8.65508, 1991, Oct Average, Germany, DEU
4.15534, 1991, Nov Average, Germany, DEU
0.8443, 1991, Dec Average, Germany, DEU
0.98231, 1992, Jan Average, Germany, DEU
2.95, 1992, Feb Average, Germany, DEU
5.23331, 1992, Mar Average, Germany, DEU
8.23376, 1992, Apr Average, Germany, DEU
14.6344, 1992, May Average, Germany, DEU
17.4033, 1992, Jun Average, Germany, DEU
18.9612, 1992, Jul Average, Germany, DEU
19.5091, 1992, Aug Average, Germany, DEU
14.0234, 1992, Sep Average, Germany, DEU
6.82824, 1992, Oct Average, Germany, DEU
5.55343, 1992, Nov Average, Germany, DEU
1.42945, 1992, Dec Average, Germany, DEU
2.32586, 1993, Jan Average, Germany, DEU
-0.2317, 1993, Feb Average, Germany, DEU
4.07958, 1993, Mar Average, Germany, DEU
10.5163, 1993, Apr Average, Germany, DEU
14.758, 1993, May Average, Germany, DEU
15.8322, 1993, Jun Average, Germany, DEU
16.3125, 1993, Jul Average, Germany, DEU
16.3155, 1993, Aug Average, Germany, DEU
12.666, 1993, Sep Average, Germany, DEU
8.27415, 1993, Oct Average, Germany, DEU
0.75787, 1993, Nov Average, Germany, DEU
3.00126, 1993, Dec Average, Germany, DEU
2.75442, 1994, Jan Average, Germany, DEU
-0.0078, 1994, Feb Average, Germany, DEU
6.61274, 1994, Mar Average, Germany, DEU
8.32127, 1994, Apr Average, Germany, DEU
12.6663, 1994, May Average, Germany, DEU
15.963, 1994, Jun Average, Germany, DEU
21.4451, 1994, Jul Average, Germany, DEU
18.336, 1994, Aug Average, Germany, DEU
13.7396, 1994, Sep Average, Germany, DEU
8.14592, 1994, Oct Average, Germany, DEU
7.08438, 1994, Nov Average, Germany, DEU
3.50984, 1994, Dec Average, Germany, DEU
0.192, 1995, Jan Average, Germany, DEU
4.56621, 1995, Feb Average, Germany, DEU
3.52033, 1995, Mar Average, Germany, DEU
8.61766, 1995, Apr Average, Germany, DEU
12.4538, 1995, May Average, Germany, DEU
14.4846, 1995, Jun Average, Germany, DEU
20.309, 1995, Jul Average, Germany, DEU
18.7654, 1995, Aug Average, Germany, DEU
13.038, 1995, Sep Average, Germany, DEU
12.1808, 1995, Oct Average, Germany, DEU
3.29941, 1995, Nov Average, Germany, DEU
-1.7944, 1995, Dec Average, Germany, DEU
-2.5147, 1996, Jan Average, Germany, DEU
-2.0752, 1996, Feb Average, Germany, DEU
1.34697, 1996, Mar Average, Germany, DEU
8.87881, 1996, Apr Average, Germany, DEU
11.2354, 1996, May Average, Germany, DEU
15.7454, 1996, Jun Average, Germany, DEU
16.1285, 1996, Jul Average, Germany, DEU
17.5631, 1996, Aug Average, Germany, DEU
11.3604, 1996, Sep Average, Germany, DEU
9.57887, 1996, Oct Average, Germany, DEU
4.64019, 1996, Nov Average, Germany, DEU
-1.9799, 1996, Dec Average, Germany, DEU
-2.2574, 1997, Jan Average, Germany, DEU
4.09781, 1997, Feb Average, Germany, DEU
6.15298, 1997, Mar Average, Germany, DEU
6.7102, 1997, Apr Average, Germany, DEU
12.7419, 1997, May Average, Germany, DEU
15.9529, 1997, Jun Average, Germany, DEU
17.3742, 1997, Jul Average, Germany, DEU
20.0751, 1997, Aug Average, Germany, DEU
14.5392, 1997, Sep Average, Germany, DEU
8.11686, 1997, Oct Average, Germany, DEU
4.23397, 1997, Nov Average, Germany, DEU
2.18848, 1997, Dec Average, Germany, DEU
2.32611, 1998, Jan Average, Germany, DEU
4.64229, 1998, Feb Average, Germany, DEU
5.21223, 1998, Mar Average, Germany, DEU
9.1235, 1998, Apr Average, Germany, DEU
14.1495, 1998, May Average, Germany, DEU
16.5592, 1998, Jun Average, Germany, DEU
16.6749, 1998, Jul Average, Germany, DEU
17.2113, 1998, Aug Average, Germany, DEU
13.832, 1998, Sep Average, Germany, DEU
8.85469, 1998, Oct Average, Germany, DEU
1.63799, 1998, Nov Average, Germany, DEU
1.03189, 1998, Dec Average, Germany, DEU
2.55054, 1999, Jan Average, Germany, DEU
0.48871, 1999, Feb Average, Germany, DEU
5.75008, 1999, Mar Average, Germany, DEU
9.22247, 1999, Apr Average, Germany, DEU
13.8271, 1999, May Average, Germany, DEU
15.3925, 1999, Jun Average, Germany, DEU
19.2112, 1999, Jul Average, Germany, DEU
17.6556, 1999, Aug Average, Germany, DEU
17.2506, 1999, Sep Average, Germany, DEU
9.42738, 1999, Oct Average, Germany, DEU
3.75318, 1999, Nov Average, Germany, DEU
2.08065, 1999, Dec Average, Germany, DEU
0.99116, 2000, Jan Average, Germany, DEU
3.84975, 2000, Feb Average, Germany, DEU
5.37419, 2000, Mar Average, Germany, DEU
10.5112, 2000, Apr Average, Germany, DEU
14.8349, 2000, May Average, Germany, DEU
17.0415, 2000, Jun Average, Germany, DEU
15.4879, 2000, Jul Average, Germany, DEU
18.121, 2000, Aug Average, Germany, DEU
14.4642, 2000, Sep Average, Germany, DEU
10.9491, 2000, Oct Average, Germany, DEU
6.34026, 2000, Nov Average, Germany, DEU
3.22687, 2000, Dec Average, Germany, DEU
0.85336, 2001, Jan Average, Germany, DEU
2.25805, 2001, Feb Average, Germany, DEU
4.46286, 2001, Mar Average, Germany, DEU
7.35143, 2001, Apr Average, Germany, DEU
14.3456, 2001, May Average, Germany, DEU
14.3906, 2001, Jun Average, Germany, DEU
18.6713, 2001, Jul Average, Germany, DEU
18.966, 2001, Aug Average, Germany, DEU
12.2053, 2001, Sep Average, Germany, DEU
12.8681, 2001, Oct Average, Germany, DEU
4.06855, 2001, Nov Average, Germany, DEU
-0.213, 2001, Dec Average, Germany, DEU
1.32824, 2002, Jan Average, Germany, DEU
5.07068, 2002, Feb Average, Germany, DEU
5.85789, 2002, Mar Average, Germany, DEU
8.28714, 2002, Apr Average, Germany, DEU
13.8723, 2002, May Average, Germany, DEU
17.3874, 2002, Jun Average, Germany, DEU
17.9755, 2002, Jul Average, Germany, DEU
19.1303, 2002, Aug Average, Germany, DEU
13.7999, 2002, Sep Average, Germany, DEU
8.5067, 2002, Oct Average, Germany, DEU
5.57759, 2002, Nov Average, Germany, DEU
0.26687, 2002, Dec Average, Germany, DEU
-0.3802, 2003, Jan Average, Germany, DEU
-1.5355, 2003, Feb Average, Germany, DEU
5.70674, 2003, Mar Average, Germany, DEU
8.67057, 2003, Apr Average, Germany, DEU
14.2349, 2003, May Average, Germany, DEU
18.7076, 2003, Jun Average, Germany, DEU
19.2196, 2003, Jul Average, Germany, DEU
20.3726, 2003, Aug Average, Germany, DEU
14.5926, 2003, Sep Average, Germany, DEU
6.32347, 2003, Oct Average, Germany, DEU
6.32323, 2003, Nov Average, Germany, DEU
2.02609, 2003, Dec Average, Germany, DEU
-0.4646, 2004, Jan Average, Germany, DEU
2.45376, 2004, Feb Average, Germany, DEU
4.54698, 2004, Mar Average, Germany, DEU
9.53915, 2004, Apr Average, Germany, DEU
11.7282, 2004, May Average, Germany, DEU
15.3851, 2004, Jun Average, Germany, DEU
16.9573, 2004, Jul Average, Germany, DEU
18.7985, 2004, Aug Average, Germany, DEU
14.605, 2004, Sep Average, Germany, DEU
10.4812, 2004, Oct Average, Germany, DEU
4.44242, 2004, Nov Average, Germany, DEU
1.37016, 2004, Dec Average, Germany, DEU
1.871, 2005, Jan Average, Germany, DEU
-0.9179, 2005, Feb Average, Germany, DEU
3.96434, 2005, Mar Average, Germany, DEU
9.53416, 2005, Apr Average, Germany, DEU
12.9716, 2005, May Average, Germany, DEU
16.4949, 2005, Jun Average, Germany, DEU
18.2616, 2005, Jul Average, Germany, DEU
16.1995, 2005, Aug Average, Germany, DEU
15.6133, 2005, Sep Average, Germany, DEU
11.5465, 2005, Oct Average, Germany, DEU
4.52576, 2005, Nov Average, Germany, DEU
0.77854, 2005, Dec Average, Germany, DEU
-2.4018, 2006, Jan Average, Germany, DEU
-0.1917, 2006, Feb Average, Germany, DEU
1.95718, 2006, Mar Average, Germany, DEU
8.38739, 2006, Apr Average, Germany, DEU
13.2208, 2006, May Average, Germany, DEU
17.0143, 2006, Jun Average, Germany, DEU
21.5847, 2006, Jul Average, Germany, DEU
15.9788, 2006, Aug Average, Germany, DEU
17.4446, 2006, Sep Average, Germany, DEU
12.5353, 2006, Oct Average, Germany, DEU
7.38078, 2006, Nov Average, Germany, DEU
4.58532, 2006, Dec Average, Germany, DEU
4.54958, 2007, Jan Average, Germany, DEU
3.91222, 2007, Feb Average, Germany, DEU
6.59217, 2007, Mar Average, Germany, DEU
11.7634, 2007, Apr Average, Germany, DEU
14.3444, 2007, May Average, Germany, DEU
17.5587, 2007, Jun Average, Germany, DEU
17.5163, 2007, Jul Average, Germany, DEU
17.3788, 2007, Aug Average, Germany, DEU
13.0917, 2007, Sep Average, Germany, DEU
8.79166, 2007, Oct Average, Germany, DEU
3.91063, 2007, Nov Average, Germany, DEU
1.59801, 2007, Dec Average, Germany, DEU
3.51969, 2008, Jan Average, Germany, DEU
3.99911, 2008, Feb Average, Germany, DEU
4.52641, 2008, Mar Average, Germany, DEU
8.04192, 2008, Apr Average, Germany, DEU
14.7398, 2008, May Average, Germany, DEU
17.1685, 2008, Jun Average, Germany, DEU
18.3056, 2008, Jul Average, Germany, DEU
17.8396, 2008, Aug Average, Germany, DEU
13.0559, 2008, Sep Average, Germany, DEU
9.52568, 2008, Oct Average, Germany, DEU
5.31386, 2008, Nov Average, Germany, DEU
1.13794, 2008, Dec Average, Germany, DEU
-1.7876, 2009, Jan Average, Germany, DEU
0.68681, 2009, Feb Average, Germany, DEU
4.6636, 2009, Mar Average, Germany, DEU
11.9525, 2009, Apr Average, Germany, DEU
13.9082, 2009, May Average, Germany, DEU
15.1022, 2009, Jun Average, Germany, DEU
18.4188, 2009, Jul Average, Germany, DEU
19.2911, 2009, Aug Average, Germany, DEU
15.3077, 2009, Sep Average, Germany, DEU
8.50536, 2009, Oct Average, Germany, DEU
7.56919, 2009, Nov Average, Germany, DEU
0.26606, 2009, Dec Average, Germany, DEU
-3.635, 2010, Jan Average, Germany, DEU
-0.2801, 2010, Feb Average, Germany, DEU
4.55701, 2010, Mar Average, Germany, DEU
9.17569, 2010, Apr Average, Germany, DEU
10.6928, 2010, May Average, Germany, DEU
16.6074, 2010, Jun Average, Germany, DEU
20.7175, 2010, Jul Average, Germany, DEU
17.2285, 2010, Aug Average, Germany, DEU
13.0015, 2010, Sep Average, Germany, DEU
8.50877, 2010, Oct Average, Germany, DEU
4.81819, 2010, Nov Average, Germany, DEU
-3.4803, 2010, Dec Average, Germany, DEU
0.93198, 2011, Jan Average, Germany, DEU
1.09535, 2011, Feb Average, Germany, DEU
5.38851, 2011, Mar Average, Germany, DEU
11.9437, 2011, Apr Average, Germany, DEU
14.2335, 2011, May Average, Germany, DEU
16.8458, 2011, Jun Average, Germany, DEU
16.458, 2011, Jul Average, Germany, DEU
18.1577, 2011, Aug Average, Germany, DEU
15.8767, 2011, Sep Average, Germany, DEU
9.91534, 2011, Oct Average, Germany, DEU
5.29363, 2011, Nov Average, Germany, DEU
3.73693, 2011, Dec Average, Germany, DEU
1.74032, 2012, Jan Average, Germany, DEU
-2.3142, 2012, Feb Average, Germany, DEU
7.4173, 2012, Mar Average, Germany, DEU
8.5375, 2012, Apr Average, Germany, DEU
14.3825, 2012, May Average, Germany, DEU
15.798, 2012, Jun Average, Germany, DEU
17.7462, 2012, Jul Average, Germany, DEU
19.0026, 2012, Aug Average, Germany, DEU
14.3637, 2012, Sep Average, Germany, DEU
9.30844, 2012, Oct Average, Germany, DEU
5.61228, 2012, Nov Average, Germany, DEU
1.37571, 2012, Dec Average, Germany, DEU
0.03566, 2013, Jan Average, Germany, DEU
-0.6108, 2013, Feb Average, Germany, DEU
0.61037, 2013, Mar Average, Germany, DEU
8.58867, 2013, Apr Average, Germany, DEU
12.0077, 2013, May Average, Germany, DEU
15.9493, 2013, Jun Average, Germany, DEU
19.8658, 2013, Jul Average, Germany, DEU
18.5311, 2013, Aug Average, Germany, DEU
13.7436, 2013, Sep Average, Germany, DEU
11.0472, 2013, Oct Average, Germany, DEU
4.83365, 2013, Nov Average, Germany, DEU
3.69051, 2013, Dec Average, Germany, DEU
1.9974, 2014, Jan Average, Germany, DEU
4.47936, 2014, Feb Average, Germany, DEU
7.51255, 2014, Mar Average, Germany, DEU
11.1613, 2014, Apr Average, Germany, DEU
12.6388, 2014, May Average, Germany, DEU
16.4959, 2014, Jun Average, Germany, DEU
19.6139, 2014, Jul Average, Germany, DEU
16.4512, 2014, Aug Average, Germany, DEU
15.4692, 2014, Sep Average, Germany, DEU
12.2244, 2014, Oct Average, Germany, DEU
6.94718, 2014, Nov Average, Germany, DEU
2.63425, 2014, Dec Average, Germany, DEU
2.02066, 2015, Jan Average, Germany, DEU
1.23194, 2015, Feb Average, Germany, DEU
5.65541, 2015, Mar Average, Germany, DEU
8.94879, 2015, Apr Average, Germany, DEU
12.6669, 2015, May Average, Germany, DEU
16.13, 2015, Jun Average, Germany, DEU
19.7285, 2015, Jul Average, Germany, DEU
20.1928, 2015, Aug Average, Germany, DEU
13.5237, 2015, Sep Average, Germany, DEU
8.83176, 2015, Oct Average, Germany, DEU
7.76078, 2015, Nov Average, Germany, DEU
6.57272, 2015, Dec Average, Germany, DEU
0.90283, 2016, Jan Average, Germany, DEU
3.35926, 2016, Feb Average, Germany, DEU
4.4341, 2016, Mar Average, Germany, DEU
8.43469, 2016, Apr Average, Germany, DEU
13.9283, 2016, May Average, Germany, DEU
17.0835, 2016, Jun Average, Germany, DEU
18.9488, 2016, Jul Average, Germany, DEU
18.2881, 2016, Aug Average, Germany, DEU
17.4607, 2016, Sep Average, Germany, DEU
8.68213, 2016, Oct Average, Germany, DEU
4.4702, 2016, Nov Average, Germany, DEU
2.6008, 2016, Dec Average, Germany, DEU
